car_class_id,car_name,manual_vehicle_name,match_type,match_score,vehicle_type
490,BMW 5시리즈,BMW 5시리즈,exact,1.0,준중형/중형
638,BMW X1,BMW X1,exact,1.0,SUV
327,BMW X1,BMW X1,exact,1.0,SUV
656,BMW i5 eDrive40,BMW i5,contains,0.9,준중형/중형
657,BMW i5 eDrive40 M 스포츠,BMW i5,contains,0.9,준중형/중형
673,BMW 뉴 X3,BMW 뉴 X3,exact,1.0,SUV
623,EV3 롱레인지,EV3,exact,1.0,전기차
625,EV3 롱레인지,EV3,exact,1.0,전기차
727,EV4 롱레인지,EV4,exact,1.0,전기차
371,EV6 (제주),EV6,exact,1.0,전기차
368,EV6 롱레인지,EV6,exact,1.0,전기차
482,EV9 롱레인지,EV9,exact,1.0,전기차
478,G80 (초기형),G80,exact,1.0,대형
695,GV70,GV70,exact,1.0,대형
433,GV70 (초기형),GV70,exact,1.0,대형
518,GV80,GV80,exact,1.0,대형
434,GV80 (초기형),GV80,exact,1.0,대형
309,K5,K5,exact,1.0,준중형/중형
308,K5,K5,exact,1.0,준중형/중형
639,K8,K8,exact,1.0,대형
173,K8,K8,exact,1.0,대형
280,XM3,XM3,exact,1.0,SUV
621,XM3,XM3,exact,1.0,SUV
645,[라이트] 더뉴K3,더뉴K3,exact,1.0,준중형/중형
643,[라이트] 더뉴아반떼CN7,더 뉴 아반떼,contains,0.9,준중형/중형
644,[라이트] 올뉴아반떼,올 뉴 아반떼,normalized,1.0,준중형/중형
521,[비즈니스플랜] EV6 롱레인지 (과금형),EV6,exact,1.0,전기차
311,[비즈니스플랜] K5 (과금형),K5,exact,1.0,준중형/중형
276,[비즈니스플랜] 더 뉴 K3,더뉴K3,normalized,1.0,준중형/중형
460,[비즈니스플랜] 더 뉴 아반떼,더 뉴 아반떼,exact,1.0,준중형/중형
459,[비즈니스플랜] 더 뉴 아반떼 (과금형),더 뉴 아반떼,exact,1.0,준중형/중형
420,[비즈니스플랜] 디 올 뉴 코나 (과금형),디 올 뉴 코나,exact,1.0,SUV
312,[비즈니스플랜] 디 올 뉴 투싼 (과금형),디 올뉴투싼,normalized,1.0,SUV
191,[비즈니스플랜] 아이오닉 5 롱레인지,아이오닉 5,exact,1.0,전기차
624,[충전보장] EV3 롱레인지,EV3,exact,1.0,전기차
728,[충전보장] EV4 롱레인지,EV4,exact,1.0,전기차
389,[충전보장] EV6 롱레인지,EV6,exact,1.0,전기차
463,[충전보장] EV9 롱레인지,EV9,exact,1.0,전기차
340,[충전보장] 니로 EV,니로 EV,exact,1.0,전기차
341,[충전보장] 니로 플러스,니로 플러스,exact,1.0,전기차
425,[충전보장] 디 올 뉴 코나 일렉트릭 롱레인지,디 올 뉴 코나 일렉트릭,exact,1.0,전기차
474,[충전보장] 레이 EV,레이 EV,exact,1.0,전기차
283,[충전보장] 아이오닉 5 롱레인지,아이오닉 5,exact,1.0,전기차
391,[충전보장] 아이오닉 6,아이오닉 6,exact,1.0,전기차
392,[충전보장] 아이오닉 6 롱레인지,아이오닉 6,exact,1.0,전기차
731,[충전보장] 아이오닉 9,아이오닉 9,exact,1.0,전기차
390,[충전보장] 폴스타 2 롱레인지,폴스타2,normalized,1.0,전기차
416,뉴 QM6,뉴 QM6,exact,1.0,SUV
287,뉴 QM6,뉴 QM6,exact,1.0,SUV
320,니로 EV,니로 EV,exact,1.0,전기차
321,니로 플러스,니로 플러스,exact,1.0,전기차
174,더 뉴 K3,더뉴K3,normalized,1.0,준중형/중형
225,더 뉴 K3,더뉴K3,normalized,1.0,준중형/중형
493,더 뉴 K5,더 뉴 K5,exact,1.0,준중형/중형
725,더 뉴 K5,더 뉴 K5,exact,1.0,준중형/중형
674,더 뉴 K8 하이브리드,더 뉴 K8 하이브리드,exact,1.0,준중형/중형
152,더 뉴 그랜저,더 뉴 그랜저,exact,1.0,대형
652,더 뉴 그랜저,더 뉴 그랜저,exact,1.0,대형
357,더 뉴 기아 레이,더뉴기아레이 루프탑 캠핑 기능 사용 방법,contains,0.9,
354,더 뉴 기아 레이,더뉴기아레이 루프탑 캠핑 기능 사용 방법,contains,0.9,
556,더 뉴 기아 레이 루프탑,더 뉴 기아 레이 루프탑,exact,1.0,경형
64,더 뉴 레이,레이,contains,0.9,경형
197,더 뉴 레이,레이,contains,0.9,경형
466,더 뉴 모닝,더 뉴 모닝,exact,1.0,경형
464,더 뉴 모닝,더 뉴 모닝,exact,1.0,경형
